MLE8117;Procesarea datelor audio-video
MME8060;Programare declarativa in invatarea automata
MLR5076;Programare in C
MLG5143;Programare logica
MLR5009;Programare logica si functionala
MLE5009;Programare logica si functionala
MLM5009;Programare logica si functionala
MLE5077;Programare paralela si distribuita
MLM5106;Programare paralela si distribuita
MLR5077;Programare paralela si distribuita
MME8111;Programare pe arhitecturi GPU si distribuite
MLG5078;Programare pentru dispozitive mobile
MLR5078;Programare pentru dispozitive mobile
MLE5078;Programare pentru dispozitive mobile
MMM8085;Programarea robotilor si a sistemelor inglobate
MLM5012;Proiect colectiv
MLR5012;Proiect colectiv
MLE5012;Proiect colectiv
MLG5012;Proiect colectiv
MLR5161;Proiect de cercetare
MLE5161;Proiect de cercetare
MMM8144;Proiectarea bazata pe sabloane si componente
VDP0001;Psihologie educationala (facultativ)
MLE5061;Realitate virtuala
MME8032;Regasirea informatiei (in engleza)
MLG5002;Retele de calculatoare
MLR5002;Retele de calculatoare
MLE5002;Retele de calculatoare
MMR8015;Retele dinamice si sisteme de operare specializate
MMR3013;Rolul contraexemplelor in predarea analizei matematice
MLM5086;Securitate software
MLR8114;Securitate software
MMM8018;Securitatea sistemelor de calcul
MMG8157;Securitatea sistemelor software
MME3125;Siruri recurente (lb. de predare engleza)
MME8093;Sisteme de operare pentru arhitecturi paralele si distribuite
MME8009;Sisteme pentru fundamentarea deciziilor
MLR0026;Software matematic
MLM0026;Software mathematic
MLE0030;Statistica matematica
MLM0030;Statistica matematica
MLR0030;Statistica matematica
MMM8177;Swarm Intelligence
MLM0083;Tehnici de demonstrare
MMR8012;Tehnologii si platforme Java pentru aplicatii distribuite
MMR3046;Teme de algebra I (pentru perfectionarea profesorilor)
MMR3008;Teme de analiza matematica I (pentru perfectionarea profesorilor)
MMR3022;Teme de calcul numeric si aproximare (pentru perfectionarea profesorilor)
MMR3035;Teme de geometrie II (pentru perfectionarea profesorilor)
MMR3029;Teme de matematica aplicata (pentru perfectionarea profesorilor)
MMR3055;Teme de mecanica si astronomie (pentru perfectionarea profesorilor)
MME3109;Teoria calitativa a ecuatiilor diferentiale ordinare
MMM3050;Teoria codurilor
MME3103;Teoria grupurilor si aplicatii
VDP2303;Teoria si metodologia instruirii. Teoria si metodologia evaluarii
MLR0082;Topologie
MME3111;Topologie algebrica
TUTOR;Tutoriat
